"","x"
"246","ENSG00000152137"
"247","ENSG00000011451"
"248","ENSG00000085491"
"249","ENSG00000124067"
"250","ENSG00000137309"
"251","ENSG00000196497"
"252","ENSG00000144028"
"253","ENSG00000089159"
"254","ENSG00000130707"
"255","ENSG00000087077"
"256","ENSG00000159176"
"257","ENSG00000064205"
"258","ENSG00000135414"
"259","ENSG00000182004"
"260","ENSG00000063660"
"261","ENSG00000281540"
"262","ENSG00000066583"
"263","ENSG00000140675"
"264","ENSG00000154122"
"265","ENSG00000116649"
"266","ENSG00000135624"
"267","ENSG00000228253"
"268","ENSG00000101310"
"269","ENSG00000163069"
"270","ENSG00000114631"
"271","ENSG00000161847"
"272","ENSG00000037474"
"273","ENSG00000160803"
"274","ENSG00000102024"
"275","ENSG00000270647"
"276","ENSG00000166197"
"277","ENSG00000166508"
"278","ENSG00000160877"
"279","ENSG00000197977"
"280","ENSG00000104341"
"281","ENSG00000160293"
"282","ENSG00000104738"
"283","ENSG00000135821"
"284","ENSG00000102317"
"285","ENSG00000179958"
"286","ENSG00000075415"
"287","ENSG00000104894"
"288","ENSG00000267135"
"289","ENSG00000130635"
"290","ENSG00000233328"
"291","ENSG00000070669"
"292","ENSG00000175166"
"293","ENSG00000119335"
"294","ENSG00000185624"
"295","ENSG00000141905"
"296","ENSG00000140391"
"297","ENSG00000074410"
"298","ENSG00000151892"
"299","ENSG00000198727"
"300","ENSG00000143321"
"301","ENSG00000103266"
"302","ENSG00000162302"
"303","ENSG00000178531"
"304","ENSG00000154274"
"305","ENSG00000134287"
"306","ENSG00000102172"
"307","ENSG00000236060"
"308","ENSG00000174243"
"309","ENSG00000101224"
"310","ENSG00000173436"
"311","ENSG00000116455"
"312","ENSG00000063244"
"313","ENSG00000102030"
"314","ENSG00000152234"
"315","ENSG00000182325"
"316","ENSG00000167642"
"317","ENSG00000181830"
"318","ENSG00000123374"
"319","ENSG00000103202"
"320","ENSG00000244242"
"321","ENSG00000281917"
"322","ENSG00000116251"
"323","ENSG00000168003"
"324","ENSG00000146205"
"325","ENSG00000124762"
"326","ENSG00000167778"
"327","ENSG00000140526"
"328","ENSG00000182809"
"329","ENSG00000150459"
"330","ENSG00000120438"
"331","ENSG00000097021"
"332","ENSG00000239672"
"333","ENSG00000034152"
"334","ENSG00000196943"
"335","ENSG00000205542"
"336","ENSG00000065833"
"337","ENSG00000169564"
"338","ENSG00000176974"
"339","ENSG00000110047"
"340","ENSG00000145494"
"341","ENSG00000108424"
"342","ENSG00000123213"
"343","ENSG00000129128"
"344","ENSG00000166908"
"345","ENSG00000008283"
"346","ENSG00000197170"
"347","ENSG00000131462"
"348","ENSG00000165731"
"349","ENSG00000149925"
"350","ENSG00000102178"
"351","ENSG00000120254"
"352","ENSG00000013810"
"353","ENSG00000179091"
"354","ENSG00000107562"
"355","ENSG00000002834"
"356","ENSG00000023734"
"357","ENSG00000106105"
"358","ENSG00000211445"
"359","ENSG00000181610"
"360","ENSG00000153944"
"361","ENSG00000177192"
"362","ENSG00000227063"
"363","ENSG00000213741"
"364","ENSG00000115758"
"365","ENSG00000168028"
"366","ENSG00000276657"
"367","ENSG00000198910"
"368","ENSG00000168393"
"369","ENSG00000081277"
"370","ENSG00000175203"
"371","ENSG00000107130"
"372","ENSG00000135316"
"373","ENSG00000169230"
"374","ENSG00000131759"
"375","ENSG00000148337"
"376","ENSG00000120694"
"377","ENSG00000035862"
"378","ENSG00000118513"
"379","ENSG00000103194"
"380","ENSG00000197858"
"381","ENSG00000279487"
"382","ENSG00000166851"
"383","ENSG00000130294"
"384","ENSG00000167106"
"385","ENSG00000170515"
"386","ENSG00000151632"
"387","ENSG00000164880"
"388","ENSG00000105699"
"389","ENSG00000084463"
"390","ENSG00000168066"
"391","ENSG00000138175"
"392","ENSG00000025796"
"393","ENSG00000174903"
"394","ENSG00000169045"
"395","ENSG00000169251"
"396","ENSG00000138363"
"397","ENSG00000108518"
"398","ENSG00000163754"
"399","ENSG00000262814"
"400","ENSG00000089693"
"401","ENSG00000239264"
"402","ENSG00000143543"
"403","ENSG00000169180"
"404","ENSG00000127838"
"405","ENSG00000198858"
"406","ENSG00000103257"
"407","ENSG00000184702"
"408","ENSG00000172458"
"409","ENSG00000178035"
"410","ENSG00000110104"
"411","ENSG00000156482"
"412","ENSG00000139579"
"413","ENSG00000143368"
"414","ENSG00000086061"
"415","ENSG00000156299"
"416","ENSG00000071127"
"417","ENSG00000105568"
"418","ENSG00000152952"
"419","ENSG00000167460"
"420","ENSG00000160201"
"421","ENSG00000230076"
"422","ENSG00000139641"
"423","ENSG00000014138"
"424","ENSG00000196923"
"425","ENSG00000100075"
"426","ENSG00000175416"
"427","ENSG00000110092"
"428","ENSG00000130429"
"429","ENSG00000179388"
"430","ENSG00000115884"
"431","ENSG00000183248"
"432","ENSG00000001036"
"433","ENSG00000180900"
"434","ENSG00000170445"
"435","ENSG00000172757"
"436","ENSG00000144485"
"437","ENSG00000136826"
"438","ENSG00000177733"
"439","ENSG00000161547"
"440","ENSG00000037897"
"441","ENSG00000161013"
"442","ENSG00000155660"
"443","ENSG00000136379"
"444","ENSG00000142657"
"445","ENSG00000143106"
"446","ENSG00000115310"
"447","ENSG00000007376"
"448","ENSG00000101557"
"449","ENSG00000006831"
"450","ENSG00000070010"
"451","ENSG00000143845"
