"","x"
"267","ENST00000633527"
"268","ENST00000395862"
"269","ENST00000344930"
"270","ENST00000355057"
"271","ENST00000233057"
"272","ENST00000263904"
"273","ENST00000634120"
"274","ENST00000256686"
"275","ENST00000344936"
"276","ENST00000487500"
"277","ENST00000376447"
"278","ENST00000369535"
"279","ENST00000426142"
"280","ENST00000446378"
"281","ENST00000493442"
"282","ENST00000549992"
"283","ENST00000312828"
"284","ENST00000296582"
"285","ENST00000556454"
"286","ENST00000618052"
"287","ENST00000610758"
"288","ENST00000342374"
"289","ENST00000368149"
"290","ENST00000371322"
"291","ENST00000262854"
"292","ENST00000540351"
"293","ENST00000299563"
"294","ENST00000587994"
"295","ENST00000352511"
"296","ENST00000216513"
"297","ENST00000418331"
"298","ENST00000438447"
"299","ENST00000537646"
"300","ENST00000355044"
"301","ENST00000448464"
"302","ENST00000374724"
"303","ENST00000615506"
"304","ENST00000336032"
"305","ENST00000396049"
"306","ENST00000416195"
"307","ENST00000240617"
"308","ENST00000541648"
"309","ENST00000527735"
"310","ENST00000358157"
"311","ENST00000262753"
"312","ENST00000375442"
"313","ENST00000322349"
"314","ENST00000221130"
"315","ENST00000372688"
"316","ENST00000389063"
"317","ENST00000381340"
"318","ENST00000286800"
"319","ENST00000323482"
"320","ENST00000261530"
"321","ENST00000233099"
"322","ENST00000418596"
"323","ENST00000554015"
"324","ENST00000381232"
"325","ENST00000163416"
"326","ENST00000402673"
"327","ENST00000395468"
"328","ENST00000450454"
"329","ENST00000615164"
"330","ENST00000360110"
"331","ENST00000375326"
"332","ENST00000211287"
"333","ENST00000265970"
"334","ENST00000409557"
"335","ENST00000504123"
"336","ENST00000272519"
"337","ENST00000031146"
"338","ENST00000393704"
"339","ENST00000331128"
"340","ENST00000369167"
"341","ENST00000409733"
"342","ENST00000448752"
"343","ENST00000483019"
"344","ENST00000359933"
"345","ENST00000393387"
"346","ENST00000441159"
"347","ENST00000450251"
"348","ENST00000398510"
"349","ENST00000339812"
"350","ENST00000534358"
"351","ENST00000409003"
"352","ENST00000377459"
"353","ENST00000341567"
"354","ENST00000245796"
"355","ENST00000272102"
"356","ENST00000618156"
"357","ENST00000359611"
"358","ENST00000389759"
"359","ENST00000361371"
"360","ENST00000373766"
"361","ENST00000493958"
"362","ENST00000448238"
"363","ENST00000263955"
"364","ENST00000544802"
"365","ENST00000274140"
"366","ENST00000372771"
"367","ENST00000370982"
"368","ENST00000258484"
"369","ENST00000544545"
"370","ENST00000379270"
"371","ENST00000412248"
"372","ENST00000327040"
"373","ENST00000231368"
"374","ENST00000339907"
"375","ENST00000409747"
"376","ENST00000287957"
"377","ENST00000348108"
"378","ENST00000392316"
"379","ENST00000296953"
"380","ENST00000392782"
"381","ENST00000304623"
"382","ENST00000375708"
"383","ENST00000241052"
"384","ENST00000225388"
"385","ENST00000383836"
