"","x"
"267","ENST00000322723"
"268","ENST00000468161"
"269","ENST00000251453"
"270","ENST00000620041"
"271","ENST00000491117"
"272","ENST00000321358"
"273","ENST00000342480"
"274","ENST00000389054"
"275","ENST00000312371"
"276","ENST00000370873"
"277","ENST00000278742"
"278","ENST00000463546"
"279","ENST00000398104"
"280","ENST00000354666"
"281","ENST00000267257"
"282","ENST00000482651"
"283","ENST00000301071"
"284","ENST00000314134"
"285","ENST00000626646"
"286","ENST00000393021"
"287","ENST00000475354"
"288","ENST00000520142"
"289","ENST00000626021"
"290","ENST00000178638"
"291","ENST00000550367"
"292","ENST00000537739"
"293","ENST00000344175"
"294","ENST00000380874"
"295","ENST00000215909"
"296","ENST00000281938"
"297","ENST00000272928"
"298","ENST00000300952"
"299","ENST00000546463"
"300","ENST00000549606"
"301","ENST00000375571"
"302","ENST00000223127"
"303","ENST00000578754"
"304","ENST00000360541"
"305","ENST00000563275"
"306","ENST00000447750"
"307","ENST00000356245"
"308","ENST00000530868"
"309","ENST00000568901"
"310","ENST00000369409"
"311","ENST00000492974"
"312","ENST00000405995"
"313","ENST00000301821"
"314","ENST00000312175"
"315","ENST00000565758"
"316","ENST00000361951"
"317","ENST00000468153"
"318","ENST00000431232"
"319","ENST00000353383"
"320","ENST00000367627"
"321","ENST00000260746"
"322","ENST00000216962"
"323","ENST00000484902"
"324","ENST00000490882"
"325","ENST00000568562"
"326","ENST00000393409"
"327","ENST00000369851"
"328","ENST00000352983"
"329","ENST00000478185"
"330","ENST00000581356"
"331","ENST00000546656"
"332","ENST00000587334"
"333","ENST00000546489"
"334","ENST00000555895"
"335","ENST00000618152"
"336","ENST00000361851"
"337","ENST00000369234"
"338","ENST00000446622"
"339","ENST00000352251"
"340","ENST00000558502"
"341","ENST00000373084"
"342","ENST00000619747"
"343","ENST00000623936"
"344","ENST00000369307"
"345","ENST00000250495"
"346","ENST00000374198"
"347","ENST00000523944"
"348","ENST00000225655"
"349","ENST00000498157"
"350","ENST00000361390"
"351","ENST00000264748"
"352","ENST00000552914"
"353","ENST00000484600"
"354","ENST00000392952"
"355","ENST00000327268"
"356","ENST00000318978"
"357","ENST00000461365"
"358","ENST00000262370"
"359","ENST00000278412"
"360","ENST00000318407"
"361","ENST00000434748"
"362","ENST00000326739"
"363","ENST00000521291"
"364","ENST00000608083"
"365","ENST00000297990"
"366","ENST00000244815"
"367","ENST00000610495"
"368","ENST00000366922"
"369","ENST00000401695"
"370","ENST00000309602"
"371","ENST00000552819"
"372","ENST00000617231"
"373","ENST00000478574"
"374","ENST00000263377"
"375","ENST00000313234"
"376","ENST00000406606"
"377","ENST00000535993"
"378","ENST00000334192"
"379","ENST00000329421"
"380","ENST00000579991"
"381","ENST00000458549"
"382","ENST00000468384"
"383","ENST00000371471"
"384","ENST00000380381"
"385","ENST00000450573"
"386","ENST00000370078"
"387","ENST00000266970"
"388","ENST00000561171"
"389","ENST00000367103"
"390","ENST00000393033"
"391","ENST00000547808"
"392","ENST00000393931"
"393","ENST00000376112"
"394","ENST00000252809"
"395","ENST00000540200"
"396","ENST00000494426"
"397","ENST00000218516"
"398","ENST00000392367"
"399","ENST00000290541"
"400","ENST00000488254"
"401","ENST00000409379"
"402","ENST00000534272"
"403","ENST00000539181"
"404","ENST00000261772"
"405","ENST00000308677"
"406","ENST00000480181"
"407","ENST00000586022"
"408","ENST00000489841"
"409","ENST00000323441"
"410","ENST00000342556"
"411","ENST00000405402"
"412","ENST00000305885"
"413","ENST00000439383"
"414","ENST00000498926"
"415","ENST00000372360"
"416","ENST00000493886"
"417","ENST00000381980"
"418","ENST00000361505"
"419","ENST00000542440"
"420","ENST00000225972"
"421","ENST00000263228"
"422","ENST00000263388"
"423","ENST00000614327"
"424","ENST00000370861"
"425","ENST00000555473"
"426","ENST00000556083"
"427","ENST00000351593"
"428","ENST00000286827"
"429","ENST00000309594"
"430","ENST00000444578"
"431","ENST00000581230"
"432","ENST00000435711"
"433","ENST00000564688"
"434","ENST00000525681"
"435","ENST00000316836"
"436","ENST00000572815"
"437","ENST00000252485"
"438","ENST00000261667"
"439","ENST00000616501"
"440","ENST00000566012"
"441","ENST00000395059"
"442","ENST00000468818"
"443","ENST00000334828"
"444","ENST00000380752"
"445","ENST00000273223"
"446","ENST00000302445"
"447","ENST00000303004"
"448","ENST00000457497"
"449","ENST00000335972"
"450","ENST00000593096"
"451","ENST00000450569"
"452","ENST00000520127"
"453","ENST00000473911"
"454","ENST00000373627"
"455","ENST00000308831"
"456","ENST00000392634"
"457","ENST00000344366"
"458","ENST00000259477"
"459","ENST00000241600"
"460","ENST00000254950"
"461","ENST00000438938"
"462","ENST00000254066"
"463","ENST00000481985"
"464","ENST00000613943"
"465","ENST00000567555"
"466","ENST00000558762"
"467","ENST00000310942"
"468","ENST00000455690"
"469","ENST00000310137"
"470","ENST00000267425"
"471","ENST00000415187"
"472","ENST00000632543"
"473","ENST00000369974"
"474","ENST00000497571"
"475","ENST00000491291"
"476","ENST00000536171"
"477","ENST00000590665"
"478","ENST00000278070"
"479","ENST00000242776"
"480","ENST00000543496"
"481","ENST00000393564"
"482","ENST00000443003"
"483","ENST00000457231"
"484","ENST00000513177"
"485","ENST00000403162"
"486","ENST00000351288"
"487","ENST00000488122"
"488","ENST00000396070"
"489","ENST00000301785"
"490","ENST00000484875"
"491","ENST00000581693"
"492","ENST00000249364"
"493","ENST00000442087"
"494","ENST00000599686"
"495","ENST00000381401"
"496","ENST00000616174"
"497","ENST00000527204"
"498","ENST00000422900"
"499","ENST00000301740"
"500","ENST00000262193"
"501","ENST00000279259"
"502","ENST00000002165"
"503","ENST00000319041"
"504","ENST00000350690"
"505","ENST00000426677"
"506","ENST00000375370"
"507","ENST00000551892"
"508","ENST00000372134"
"509","ENST00000373626"
"510","ENST00000593254"
"511","ENST00000427159"
"512","ENST00000217195"
"513","ENST00000319285"
"514","ENST00000261692"
"515","ENST00000553192"
"516","ENST00000271628"
"517","ENST00000423777"
"518","ENST00000320389"
"519","ENST00000265056"
"520","ENST00000492324"
"521","ENST00000425053"
"522","ENST00000261693"
"523","ENST00000353245"
"524","ENST00000301327"
"525","ENST00000546971"
"526","ENST00000515017"
"527","ENST00000415593"
"528","ENST00000379263"
"529","ENST00000429178"
"530","ENST00000544425"
"531","ENST00000558815"
"532","ENST00000415428"
"533","ENST00000543445"
"534","ENST00000361789"
"535","ENST00000392976"
"536","ENST00000582050"
"537","ENST00000513778"
"538","ENST00000389231"
"539","ENST00000433498"
"540","ENST00000538622"
"541","ENST00000307940"
"542","ENST00000543037"
"543","ENST00000592379"
"544","ENST00000244741"
"545","ENST00000370041"
"546","ENST00000333676"
"547","ENST00000589123"
"548","ENST00000002501"
"549","ENST00000290158"
"550","ENST00000438552"
"551","ENST00000567958"
"552","ENST00000589651"
"553","ENST00000590325"
"554","ENST00000576541"
"555","ENST00000437160"
"556","ENST00000486058"
"557","ENST00000543847"
"558","ENST00000262519"
"559","ENST00000357214"
"560","ENST00000264039"
"561","ENST00000298556"
"562","ENST00000448165"
"563","ENST00000630362"
"564","ENST00000445888"
"565","ENST00000408936"
"566","ENST00000606142"
"567","ENST00000355327"
"568","ENST00000455150"
"569","ENST00000472163"
"570","ENST00000490936"
"571","ENST00000583392"
"572","ENST00000549017"
"573","ENST00000449141"
"574","ENST00000009589"
"575","ENST00000388835"
"576","ENST00000255764"
"577","ENST00000541152"
"578","ENST00000541679"
"579","ENST00000335585"
"580","ENST00000259457"
"581","ENST00000403359"
"582","ENST00000264025"
"583","ENST00000430969"
"584","ENST00000450649"
"585","ENST00000392482"
"586","ENST00000481997"
"587","ENST00000370775"
"588","ENST00000557553"
"589","ENST00000357266"
"590","ENST00000527447"
"591","ENST00000264893"
"592","ENST00000417226"
"593","ENST00000490651"
"594","ENST00000590210"
"595","ENST00000463743"
"596","ENST00000407004"
"597","ENST00000423240"
"598","ENST00000367879"
"599","ENST00000582898"
"600","ENST00000381342"
"601","ENST00000602140"
"602","ENST00000304992"
"603","ENST00000518406"
"604","ENST00000626000"
"605","ENST00000552862"
"606","ENST00000354293"
"607","ENST00000339877"
"608","ENST00000356415"
"609","ENST00000305123"
"610","ENST00000425248"
"611","ENST00000439958"
"612","ENST00000509107"
"613","ENST00000368703"
"614","ENST00000528382"
"615","ENST00000594496"
"616","ENST00000565012"
"617","ENST00000257868"
"618","ENST00000630539"
"619","ENST00000336783"
"620","ENST00000422731"
"621","ENST00000489523"
"622","ENST00000370086"
"623","ENST00000496706"
"624","ENST00000287844"
"625","ENST00000225603"
"626","ENST00000355673"
"627","ENST00000504726"
"628","ENST00000598441"
"629","ENST00000439880"
"630","ENST00000598581"
"631","ENST00000584026"
"632","ENST00000564243"
"633","ENST00000420124"
"634","ENST00000612491"
"635","ENST00000564811"
"636","ENST00000343053"
"637","ENST00000458500"
"638","ENST00000470492"
"639","ENST00000578444"
"640","ENST00000375147"
"641","ENST00000296370"
"642","ENST00000443808"
"643","ENST00000587845"
"644","ENST00000321265"
"645","ENST00000261497"
"646","ENST00000012443"
"647","ENST00000436844"
"648","ENST00000314133"
"649","ENST00000534030"
"650","ENST00000510623"
"651","ENST00000332211"
"652","ENST00000358208"
"653","ENST00000361532"
"654","ENST00000576390"
"655","ENST00000170630"
"656","ENST00000490870"
"657","ENST00000343815"
"658","ENST00000450554"
"659","ENST00000451270"
"660","ENST00000455635"
"661","ENST00000617074"
"662","ENST00000413384"
"663","ENST00000372554"
"664","ENST00000293831"
"665","ENST00000367324"
"666","ENST00000564659"
"667","ENST00000570907"
"668","ENST00000482167"
"669","ENST00000243776"
"670","ENST00000361070"
"671","ENST00000402744"
"672","ENST00000379757"
"673","ENST00000426002"
"674","ENST00000222247"
"675","ENST00000478196"
"676","ENST00000366560"
"677","ENST00000262947"
"678","ENST00000453505"
"679","ENST00000530796"
"680","ENST00000360565"
"681","ENST00000345042"
"682","ENST00000271526"
"683","ENST00000558046"
"684","ENST00000518196"
"685","ENST00000419304"
"686","ENST00000491245"
"687","ENST00000380071"
"688","ENST00000371941"
"689","ENST00000395864"
"690","ENST00000287468"
"691","ENST00000378026"
"692","ENST00000286091"
"693","ENST00000523622"
"694","ENST00000536973"
"695","ENST00000358171"
"696","ENST00000551182"
"697","ENST00000427397"
"698","ENST00000369682"
"699","ENST00000389825"
"700","ENST00000553213"
"701","ENST00000261623"
"702","ENST00000508120"
"703","ENST00000441854"
"704","ENST00000311413"
"705","ENST00000229340"
"706","ENST00000374212"
"707","ENST00000521272"
"708","ENST00000219782"
"709","ENST00000396680"
"710","ENST00000223321"
"711","ENST00000507327"
"712","ENST00000587470"
"713","ENST00000413174"
"714","ENST00000618418"
"715","ENST00000297440"
"716","ENST00000435347"
"717","ENST00000322030"
"718","ENST00000538497"
"719","ENST00000531413"
"720","ENST00000630279"
"721","ENST00000327435"
"722","ENST00000265351"
"723","ENST00000618112"
"724","ENST00000326199"
"725","ENST00000494618"
"726","ENST00000351193"
"727","ENST00000535624"
"728","ENST00000586582"
"729","ENST00000445369"
"730","ENST00000361981"
"731","ENST00000480489"
"732","ENST00000317269"
"733","ENST00000566146"
"734","ENST00000581874"
"735","ENST00000589252"
"736","ENST00000372642"
"737","ENST00000425389"
"738","ENST00000630471"
"739","ENST00000554156"
"740","ENST00000535090"
"741","ENST00000560726"
"742","ENST00000560130"
"743","ENST00000320270"
"744","ENST00000588618"
"745","ENST00000505812"
"746","ENST00000277541"
"747","ENST00000597224"
"748","ENST00000340020"
"749","ENST00000532423"
"750","ENST00000522965"
"751","ENST00000253237"
"752","ENST00000367342"
"753","ENST00000304613"
"754","ENST00000330899"
"755","ENST00000506139"
"756","ENST00000380527"
"757","ENST00000173229"
"758","ENST00000394048"
"759","ENST00000369550"
"760","ENST00000300146"
"761","ENST00000475721"
"762","ENST00000316939"
"763","ENST00000474991"
"764","ENST00000624572"
"765","ENST00000265388"
"766","ENST00000261921"
"767","ENST00000395139"
"768","ENST00000262577"
"769","ENST00000486823"
"770","ENST00000221494"
"771","ENST00000292616"
"772","ENST00000445950"
"773","ENST00000584008"
"774","ENST00000235090"
"775","ENST00000376327"
"776","ENST00000372663"
"777","ENST00000493373"
"778","ENST00000555199"
"779","ENST00000207549"
"780","ENST00000340058"
"781","ENST00000551344"
"782","ENST00000340385"
"783","ENST00000307972"
"784","ENST00000306434"
"785","ENST00000546758"
"786","ENST00000377390"
"787","ENST00000372014"
"788","ENST00000507613"
"789","ENST00000551805"
"790","ENST00000584536"
"791","ENST00000442415"
"792","ENST00000253861"
"793","ENST00000624301"
"794","ENST00000300456"
"795","ENST00000532120"
"796","ENST00000400324"
"797","ENST00000325144"
"798","ENST00000524700"
"799","ENST00000264156"
"800","ENST00000566405"
"801","ENST00000550779"
"802","ENST00000566408"
"803","ENST00000293842"
"804","ENST00000565644"
"805","ENST00000533571"
"806","ENST00000417433"
"807","ENST00000510195"
"808","ENST00000580353"
"809","ENST00000398422"
"810","ENST00000398532"
"811","ENST00000252599"
"812","ENST00000433358"
"813","ENST00000457918"
"814","ENST00000368010"
"815","ENST00000248553"
"816","ENST00000508003"
"817","ENST00000373537"
"818","ENST00000418664"
"819","ENST00000559679"
"820","ENST00000582730"
"821","ENST00000327044"
"822","ENST00000360472"
"823","ENST00000347215"
"824","ENST00000581375"
"825","ENST00000558527"
"826","ENST00000371064"
"827","ENST00000370992"
"828","ENST00000470017"
"829","ENST00000239906"
"830","ENST00000630865"
"831","ENST00000421281"
"832","ENST00000262738"
"833","ENST00000383589"
"834","ENST00000449592"
"835","ENST00000356142"
"836","ENST00000173527"
"837","ENST00000333503"
"838","ENST00000175091"
"839","ENST00000542912"
"840","ENST00000583201"
"841","ENST00000316843"
"842","ENST00000551286"
"843","ENST00000462761"
"844","ENST00000301738"
"845","ENST00000491447"
"846","ENST00000317216"
"847","ENST00000333628"
"848","ENST00000342751"
"849","ENST00000233078"
"850","ENST00000522677"
"851","ENST00000303991"
"852","ENST00000312469"
"853","ENST00000246554"
"854","ENST00000409478"
"855","ENST00000484563"
"856","ENST00000533349"
