"","x"
"246","ENSG00000136235"
"247","ENSG00000204843"
"248","ENSG00000164463"
"249","ENSG00000217128"
"250","ENSG00000186260"
"251","ENSG00000153046"
"252","ENSG00000174485"
"253","ENSG00000115267"
"254","ENSG00000044524"
"255","ENSG00000100201"
"256","ENSG00000163682"
"257","ENSG00000115020"
"258","ENSG00000135870"
"259","ENSG00000170027"
"260","ENSG00000095787"
"261","ENSG00000198718"
"262","ENSG00000234287"
"263","ENSG00000104765"
"264","ENSG00000070961"
"265","ENSG00000198721"
"266","ENSG00000135999"
"267","ENSG00000174738"
"268","ENSG00000198964"
"269","ENSG00000204219"
"270","ENSG00000081923"
"271","ENSG00000257093"
"272","ENSG00000241399"
"273","ENSG00000001629"
"274","ENSG00000205730"
"275","ENSG00000097096"
"276","ENSG00000085224"
"277","ENSG00000109670"
"278","ENSG00000072121"
"279","ENSG00000169018"
"280","ENSG00000066455"
"281","ENSG00000169905"
"282","ENSG00000145808"
"283","ENSG00000198417"
"284","ENSG00000107290"
"285","ENSG00000078674"
"286","ENSG00000196950"
"287","ENSG00000100784"
"288","ENSG00000178053"
"289","ENSG00000198142"
"290","ENSG00000144357"
"291","ENSG00000197153"
"292","ENSG00000172915"
"293","ENSG00000198146"
"294","ENSG00000124493"
"295","ENSG00000198538"
"296","ENSG00000176641"
"297","ENSG00000071205"
"298","ENSG00000196914"
"299","ENSG00000176928"
"300","ENSG00000150054"
"301","ENSG00000177853"
"302","ENSG00000256045"
"303","ENSG00000213694"
"304","ENSG00000173041"
"305","ENSG00000160695"
"306","ENSG00000187244"
"307","ENSG00000137145"
"308","ENSG00000182606"
"309","ENSG00000138185"
"310","ENSG00000140022"
"311","ENSG00000164327"
"312","ENSG00000029364"
"313","ENSG00000185658"
"314","ENSG00000167766"
"315","ENSG00000274750"
"316","ENSG00000276903"
"317","ENSG00000153214"
"318","ENSG00000166575"
"319","ENSG00000196262"
"320","ENSG00000170379"
"321","ENSG00000049246"
"322","ENSG00000155744"
"323","ENSG00000174197"
"324","ENSG00000110723"
"325","ENSG00000158089"
"326","ENSG00000196233"
"327","ENSG00000277157"
"328","ENSG00000136153"
"329","ENSG00000204434"
"330","ENSG00000115966"
"331","ENSG00000113719"
"332","ENSG00000188994"
"333","ENSG00000115306"
"334","ENSG00000143774"
"335","ENSG00000160305"
"336","ENSG00000197892"
"337","ENSG00000133142"
"338","ENSG00000164168"
"339","ENSG00000180573"
"340","ENSG00000137831"
"341","ENSG00000173064"
"342","ENSG00000205133"
"343","ENSG00000138029"
"344","ENSG00000164187"
"345","ENSG00000188177"
"346","ENSG00000198938"
"347","ENSG00000176771"
"348","ENSG00000196220"
"349","ENSG00000127603"
"350","ENSG00000183054"
"351","ENSG00000052723"
"352","ENSG00000163898"
"353","ENSG00000128923"
"354","ENSG00000062038"
"355","ENSG00000196214"
"356","ENSG00000005469"
"357","ENSG00000117000"
"358","ENSG00000155097"
"359","ENSG00000166734"
"360","ENSG00000114573"
"361","ENSG00000145390"
"362","ENSG00000151914"
"363","ENSG00000109436"
"364","ENSG00000049759"
"365","ENSG00000157259"
"366","ENSG00000081320"
"367","ENSG00000214425"
"368","ENSG00000196912"
"369","ENSG00000197008"
"370","ENSG00000106780"
"371","ENSG00000064651"
"372","ENSG00000075568"
"373","ENSG00000213281"
"374","ENSG00000198707"
"375","ENSG00000263001"
"376","ENSG00000113594"
"377","ENSG00000126775"
"378","ENSG00000106443"
"379","ENSG00000198961"
"380","ENSG00000080561"
"381","ENSG00000100697"
"382","ENSG00000144452"
"383","ENSG00000114993"
"384","ENSG00000128881"
"385","ENSG00000167315"
"386","ENSG00000058668"
"387","ENSG00000110344"
"388","ENSG00000116133"
"389","ENSG00000103528"
"390","ENSG00000143761"
"391","ENSG00000198315"
"392","ENSG00000100380"
"393","ENSG00000047056"
"394","ENSG00000131018"
"395","ENSG00000100625"
"396","ENSG00000158290"
"397","ENSG00000165417"
"398","ENSG00000131845"
"399","ENSG00000115145"
"400","ENSG00000082438"
"401","ENSG00000236699"
"402","ENSG00000141441"
"403","ENSG00000103994"
"404","ENSG00000048649"
"405","ENSG00000171428"
"406","ENSG00000151779"
"407","ENSG00000116747"
"408","ENSG00000136167"
"409","ENSG00000165140"
"410","ENSG00000198160"
"411","ENSG00000076864"
"412","ENSG00000133401"
"413","ENSG00000089063"
"414","ENSG00000198887"
